Rank,Country/Region,Cost Index,Monthly Income,Purchasing Power Index
1,Bermuda *,157.9,10437.00,103.8
2,Cayman Islands *,138.3,5433.00,61.7
3,Switzerland,131.4,7454.00,89.1
4,Turks and Caicos Islands *,124.6,2013.00,25.4
5,Israel,123.1,4554.00,58.1
6,Barbados,121.8,1613.00,20.8
7,Iceland,120.1,5685.00,74.3
8,Ireland,110.6,6756.00,96
9,Denmark,109.2,6100.00,87.8
10,Norway,108.1,7959.00,115.7
11,Australia,107,5036.00,74
12,Bahamas,105.5,2628.00,39.1
13,Vanuatu,103.8,297.00,4.5
14,Luxembourg,103.4,7600.00,115.5
15,New Zealand,101.4,4038.00,62.6
16,Canada,101.3,4413.00,68.5
17,United States,100,6364.00,100
18,United Kingdom,98.5,4074.00,65
19,Finland,95.6,4530.00,74.5
20,Sweden,93.9,5249.00,87.9
21,Iran,92.5,325.00,5.5
22,Netherlands,88.2,4786.00,85.3
23,Belgium,86.8,4058.00,73.5
24,Japan,84.9,3537.00,65.4
25,France,83.2,3822.00,72.2
26,Austria,83.1,4678.00,88.5
27,Germany,82.3,4449.00,85
28,Italy,75.7,3142.00,65.2
29,South Korea,75.6,2999.00,62.4
30,Hong Kong *,73.2,4531.00,97.3
31,Spain,73,2640.00,56.9
32,Singapore,72.1,5600.00,122
33,Qatar,69.5,5875.00,132.8
34,Portugal,67.9,2150.00,49.7
35,United Arab Emirates,67.2,4079.00,95.4
36,Macao *,66.7,3748.00,88.3
37,Greece,66.5,1812.00,42.8
38,Czechia,66.1,2216.00,52.7
39,Costa Rica,59.4,1056.00,27.9
40,Lithuania,59.2,1974.00,52.4
41,Mexico,58.5,868.00,23.3
42,Chile,58.3,1280.00,34.5
43,China,57.6,1071.00,29.2
44,Haiti,57.6,134.00,3.7
45,Croatia,54.6,1623.00,46.7
46,Hungary,50.7,1584.00,49.1
47,Brazil,49.8,678.00,21.4
48,Ecuador,49.7,526.00,16.6
49,Oman,48.2,1679.00,54.7
50,El Salvador,48.2,393.00,12.8
51,Serbia,47.4,762.00,25.2
52,Poland,46.5,1529.00,51.7
53,Albania,46.3,564.00,19.2
54,Brunei,46,2618.00,89.5
55,Montenegro,45.7,867.00,29.8
56,Bulgaria,44.4,1104.00,39.1
57,Nigeria,43.8,178.00,6.4
58,Romania,43.7,1305.00,47
59,South Africa,42.5,565.00,20.9
60,Saudi Arabia,42.2,2299.00,85.5
61,Mauritius,41.9,897.00,33.6
62,East Timor,41.9,164.00,6.2
63,Russia,40.5,1069.00,41.4
64,Morocco,39.7,309.00,12.2
65,Kenya,39.4,181.00,7.2
66,Colombia,38.2,543.00,22.3
67,Cameroon,36.9,138.00,5.9
68,Georgia,36.7,468.00,20
69,Philippines,36.5,329.00,14.2
70,Lesotho,36.1,105.00,4.6
71,Nicaragua,35.9,174.00,7.6
72,Iraq,35.9,439.00,19.2
73,Bangladesh,35.8,235.00,10.3
74,Cambodia,35.8,142.00,6.2
75,Malaysia,35.2,982.00,43.8
76,Mongolia,34.8,351.00,15.8
77,Thailand,34.7,603.00,27.3
78,Bolivia,34.3,288.00,13.2
79,Indonesia,33.1,382.00,18.1
80,Tanzania,32.6,100.00,4.8
81,Vietnam,32.4,334.00,16.2
82,Kazakhstan,31.7,789.00,39.1
83,Benin,31.5,117.00,5.8
84,Azerbaijan,31.5,469.00,23.4
85,Turkey,30.4,883.00,45.6
86,Ukraine,29.5,356.00,19
87,Algeria,28.8,325.00,17.7
88,Bhutan,27.7,253.00,14.3
89,Tunisia,27.5,320.00,18.3
90,Ghana,27,196.00,11.4
91,India,26.9,198.00,11.6
92,Kyrgyzstan,26.8,118.00,6.9
93,Nepal,26.5,112.00,6.6
94,Laos,26.5,197.00,11.7
95,Sri Lanka,26.3,301.00,18
96,Egypt,23.7,342.00,22.7
97,Tajikistan,23.5,101.00,6.7
98,Pakistan,23.1,132.00,8.9
99,Myanmar,22.7,101.00,7
100,Uzbekistan,21.7,183.00,13.2
101,Palestine,17.7,384.00,34.2
